ID	Name
0	Megadeth
1	Lil Wayne
2	Foo Fighters
3	Porcupine Tree
4	No-Man
5	Airbag
6	Dream Theater
7	Amon Amarth
8	Coma
9	Orchestral Manoeuvres in the Dark
10	a-ha
11	Alter Bridge
12	Limp Bizkit
13	3 Inches of Blood
14	Kabanos
15	David Bowie
16	Hey
17	Faith No More
18	Riverside
19	Blackfield
20	Anastacia
21	Closterkeller
22	Rootwater
23	Pure Reason Revolution
24	God Is An Astronaut
25	The Bill
26	Red Hot Chili Peppers
27	Avril Lavigne
28	Rage Against the Machine
29	Steven Wilson
30	Stevie Ray Vaughan
31	The xx
32	Arch Enemy
33	Enslaved
34	Virgin Snatch
35	Machine Head
36	Ozzy Osbourne
37	Kreator
38	Pidżama Porno
39	Wintersun
40	Budgie
41	Slayer
42	Hurts
43	The Kooks
44	Coldplay
45	TesseracT
46	Enigma
47	Take That
48	Lamb of God
49	Judas Priest
50	Kevin Ayers
51	Pink Floyd
52	Metallica
53	Pantera
54	Fall Out Boy
55	Lunatic Soul
56	Children of Bodom
57	Exodus
58	Rick Ross
59	Frank Zappa
60	Illusion
61	Deep Purple
62	Nine Lashes
63	Eagles
64	Anathema
65	Indukti
66	Korpiklaani
67	Kobong
68	Opeth
69	John Petrucci
70	Joe Satriani
71	Genesis
72	Van Halen
73	Stevie Ray Vaughan and Double Trouble
74	Gazpacho
75	Oasis
76	Abigail's Ghost
77	Quidam
78	Myslovitz
79	Oysterband
80	Roxette
81	Black Sabbath
82	The Hives
83	Disperse
84	The Pineapple Thief
85	Killswitch Engage
86	Foghat
87	Dio
88	Alice in Chains
89	Dokken
90	AWOLNATION
91	Dethklok
92	Rainbow
93	The Heavy
94	The Black Keys
95	Ray Wilson
96	Кравц
97	Believe
98	Defiance
99	Amaranthe
100	Avenged Sevenfold
101	Annihilator
102	Warren G
103	Demians
104	I Muvrini
105	Dope
106	Gamma Ray
107	Bastille
108	Sum 41
109	Tenacious D
110	Aeon
111	Abraxas
112	Foreigner
113	Fish
114	Marillion
115	John Frusciante and Josh Klinghoffer
116	Diamond Head
117	Misery Index
118	50 Cent
119	Municipal Waste
120	Tool
121	Yngwie Malmsteen
122	Electric Light Orchestra
123	The White Stripes
124	Racer X
125	BodyRockers
126	Nirvana
127	Strachy Na Lachy
128	Lady Gaga
129	Kalmah
130	Eminem
131	Queen
132	The Offspring
133	Enrique Iglesias
134	Moby
135	Anberlin
136	Sneaker Pimps
137	Aerosmith
138	Journey
139	Savatage
140	Pendragon
141	Eurythmics
142	Muse
143	Tech N9ne
144	Goo Goo Dolls
145	MC5
146	Chickenfoot
147	Black River
148	Paul Gilbert
149	SBB
150	Simple Minds
151	Guns N' Roses
152	Grendel
153	Ensiferum
154	Steve Vai
155	Arsis
156	Death
157	Gorilla Zoe
158	In Flames
159	Rammstein
160	Kid Ink
161	Nevermore
162	The Reasoning
163	Storm Corrosion
164	Mike Oldfield
165	Hunter
166	Gym Class Heroes
167	The Dear Hunter
168	DMX
169	Scorpions
170	Liquid Tension Experiment
171	Meshuggah
172	Kings of Leon
173	Symphony X
174	Made of Hate
175	Theory of a Deadman
176	Keane
177	Pod Budą
178	Kult
179	Helloween
180	Frost
181	Hoobastank
182	Fischerspooner
183	Hammerfall
184	Hellyeah
185	Nas
186	Roadrunner United
187	Iced Earth
188	Tinie Tempah
189	Fatboy Slim
190	Tears for Fears
191	Big Big Train
192	Dżem
193	Lady Pank
194	Cansei de Ser Sexy
195	Freddie Mercury
196	Unheilig
197	Helmet
198	Fort Minor
199	Lupe Fiasco
200	Sabrina
201	Sly & The Family Stone
202	Accept
203	Кино
204	Decapitated
205	Billy Idol
206	Puddle of Mudd
207	Nym
208	Emerson, Lake & Palmer
209	Paramore
210	Sweet Noise
211	Kyuss
212	Grzegorz Turnau
213	Nosound
214	Andrew Lloyd Webber
215	The Rolling Stones
216	Busta Rhymes
217	Cat Power
218	Włochaty
219	Ayreon
220	Joe Cocker
221	Led Zeppelin
222	George Michael
223	Slipknot
224	Korn
225	Savage Garden
226	Rittz
227	BEAT CRUSADERS
228	Frontside
229	Saxon
230	Riot
231	Mr. Big
232	R.E.M.
233	Ces Cru
234	Shinedown
235	Acid Drinkers
236	The Doors
237	2TM2,3
238	Dave McPherson
239	Archive
240	Everlast
241	Roscoe Dash
242	Jimi Hendrix
243	Ray Charles
244	Millenium
245	John Frusciante
246	Vangelis
247	Duran Duran
248	Dimmu Borgir
249	AC/DC
250	Gary Moore
251	Black Label Society
252	The Weeknd
253	Iron Maiden
254	The Flys
255	Era
256	Adema
257	Guru Josh Project
258	Nine Inch Nails
259	Michael Jackson
260	Piotrek Gruszka
261	Luxtorpeda
262	Flapjack
263	Stiltskin
264	The Cure
265	The Blues Brothers
266	Brad
267	The Waterboys
268	The Glove
269	Linkin Park
270	Karmakanic
271	Grabaż i Strachy Na Lachy
272	Roxy Music
273	Stanisław Soyka
274	Turbo
275	+44
276	The Cranberries
277	Pride & Glory
278	Michael Mind
279	Dreamshade
280	Elmore James
281	Bass Communion
282	Anthrax
283	Pat Hamilton
284	Godsmack
285	Derek and the Dominos
286	Pitbull
287	Daft Punk
288	The Cheetah Girls
289	Loost Koos
290	Jordan Rudess
291	The Haunted
292	Christina Aguilera
293	Cinema Bizarre
294	Nate Dogg
295	The Clash
296	Kanye West
297	Kuningas Pähkinä & Setä Tamu
298	Psy
299	ウサギキノコ
300	Manowar
301	Bliss n Eso
302	Santana
303	Cacophony
304	Brocas Helm
305	Anvil
306	Нюша
307	ВИА Гра
308	My Chemical Romance
309	Scatman John
310	Mike Posner
311	Madonna
312	Fleetwood Mac
313	Ne Luumäet
314	Britney Spears
315	Vader
316	Rihanna
317	Ky-Mani Marley
318	Asia
319	Skrillex
320	Soilwork
321	Deftones
322	Airbourne
323	Demons & Wizards
324	Motörhead
325	The Asteroids Galaxy Tour
326	Gwen Stefani
327	The Beatles
328	Fergie
329	Sylvan
330	Soul Captain Band
331	Chris Rea
332	Angel Witch
333	Apocalyptica
334	Jelonek
335	M.O.P.
336	Steve Hackett
337	Depeche Mode
338	Lenny Kravitz
339	Behemoth
340	Blind Guardian
341	Panic Room
342	Laid Back
343	Damageplan
344	Prototype
345	Eric Clapton
346	Emphatic
347	Marty Friedman
348	Static Cycle
349	Tyler Ward
